actor_id,first_name,last_name,date_of_birth,email
1,James,Compton,1995-10-17,james.compton@gmail.com
2,Donald,Alvarado,1998-04-16,donald.alvarado@gmail.com
3,Susan,Waller,1965-09-04,susan.waller@gmail.com
4,Laura,Thomas,1968-03-07,laura.thomas@yahoo.com
5,Stephen,Martin,1944-09-07,stephen.martin@outlook.com
6,Donna,Gonzalez,1956-05-03,donna.gonzalez@gmail.com
7,Kevin,Miller,1960-09-13,kevin.miller@hotmail.com
8,Michaela,Kim,1993-11-27,michaela.kim@hotmail.com
9,John,Cohen,2002-03-06,john.cohen@outlook.com
10,Kimberly,Smith,1955-06-22,kimberly.smith@gmail.com
11,Melvin,Ruiz,1991-05-14,melvin.ruiz@yahoo.com
12,Phillip,Lewis,1976-10-08,phillip.lewis@outlook.com
13,Elizabeth,Guerra,1992-09-08,elizabeth.guerra@hotmail.com
14,John,Stark,1971-01-02,john.stark@outlook.com
15,David,Hines,1953-09-18,david.hines@hotmail.com
16,Ricardo,Murphy,1963-11-25,ricardo.murphy@outlook.com
17,Lori,Cross,1973-07-10,lori.cross@hotmail.com
18,Candice,Ferguson,1968-03-26,candice.ferguson@outlook.com
19,Tracy,Yang,1984-07-14,tracy.yang@hotmail.com
20,Anthony,Blackwell,1956-10-02,anthony.blackwell@gmail.com
21,Katrina,Wood,1967-10-04,katrina.wood@gmail.com
22,Walter,Smith,1985-05-27,walter.smith@gmail.com
23,Karen,Melendez,1988-07-23,karen.melendez@gmail.com
24,Jerry,Porter,1947-08-22,jerry.porter@yahoo.com
25,Jason,Graham,1967-09-27,jason.graham@yahoo.com
26,Patrick,White,1954-11-20,patrick.white@yahoo.com
27,Justin,Hughes,2000-07-07,justin.hughes@hotmail.com
28,Timothy,Green,1973-04-30,timothy.green@gmail.com
29,Harry,Sanders,1979-11-01,harry.sanders@yahoo.com
30,Mary,Marshall,1950-04-03,mary.marshall@hotmail.com
31,Michael,Oconnor,1989-04-05,michael.oconnor@outlook.com
32,Michelle,Lara,1945-06-17,michelle.lara@hotmail.com
33,Eugene,Anderson,1979-02-16,eugene.anderson@hotmail.com
34,Patrick,Gibson,1977-09-17,patrick.gibson@hotmail.com
35,Desiree,Santiago,1973-05-18,desiree.santiago@hotmail.com
36,Kelsey,Turner,1962-03-25,kelsey.turner@hotmail.com
37,Judy,Wilson,1999-07-22,judy.wilson@hotmail.com
38,Leah,Cole,1969-12-31,leah.cole@yahoo.com
39,Kimberly,Joseph,2002-01-27,kimberly.joseph@gmail.com
40,Amanda,Diaz,1998-01-30,amanda.diaz@outlook.com
41,Harold,Coleman,1996-04-27,harold.coleman@hotmail.com
42,Patrick,Leonard,1954-11-11,patrick.leonard@gmail.com
43,Adam,Vaughan,1992-10-11,adam.vaughan@yahoo.com
44,Brittany,Gonzalez,1999-12-11,brittany.gonzalez@outlook.com
45,Christina,Brennan,1974-03-23,christina.brennan@yahoo.com
46,Brandon,Campbell,1952-11-25,brandon.campbell@gmail.com
47,Miranda,Stevens,1948-01-14,miranda.stevens@gmail.com
48,Pamela,Parks,1961-10-19,pamela.parks@hotmail.com
49,Ronald,Leonard,1996-10-23,ronald.leonard@outlook.com
50,Lori,Daniels,1956-10-16,lori.daniels@gmail.com
51,Kelly,Butler,1975-01-12,kelly.butler@outlook.com
52,Mark,Fields,1985-03-04,mark.fields@yahoo.com
53,Daniel,Dennis,1980-10-12,daniel.dennis@hotmail.com
54,Joanna,Wright,1950-05-07,joanna.wright@yahoo.com
55,Amanda,Martinez,1954-06-22,amanda.martinez@yahoo.com
56,Cynthia,Jordan,1963-04-28,cynthia.jordan@outlook.com
57,Michael,Ellis,1986-08-19,michael.ellis@gmail.com
58,John,Petersen,2001-06-11,john.petersen@hotmail.com
59,Sarah,Hoover,1983-05-10,sarah.hoover@hotmail.com
60,Stephen,Jones,1969-12-30,stephen.jones@yahoo.com
61,Benjamin,Lynch,1993-11-19,benjamin.lynch@outlook.com
62,Dana,Macias,1970-08-14,dana.macias@yahoo.com
63,William,Swanson,1967-08-13,william.swanson@gmail.com
64,Sara,Curry,1973-05-20,sara.curry@hotmail.com
65,Richard,White,1995-06-12,richard.white@yahoo.com
66,Jonathan,Delgado,2004-09-17,jonathan.delgado@outlook.com
