customer_id,first_name,last_name,email,default_credit_card_num,credit_card_type,addressLine,city,province,country,postal_code,phone_number
1,Harper,Green,customer.harper.green.1@yahoo.com,2556826474121441,MC,5004 Sunset Dr,Toronto,ON,Canada,P5K3Y1,231.642.3676
2,Alexander,Brown,customer.alexander.brown.2@icloud.com,2450568186552862,MC,9964 Sunset Dr,Calgary,AB,Canada,B3M5C0,967.547.8903
3,Quinn,Morris,customer.quinn.morris.3@outlook.com,348208120290150,AX,9181 Maple Ave,Halifax,NS,Canada,E8K5G4,786.113.1426
4,Evelyn,Young,customer.evelyn.young.4@hotmail.com,2629313567144880,MC,6285 King Rd,Ottawa,ON,Canada,M3A5H3,536.798.9430
5,Henry,Young,customer.henry.young.5@hotmail.com,4913891574599742,VS,2614 Main St,Edmonton,AB,Canada,P8G4P1,596.156.8876
6,Ethan,Cook,customer.ethan.cook.6@yahoo.com,343174971037998,AX,5410 Maple Ave,Calgary,AB,Canada,C6J0X5,597.426.3630
7,Morgan,Nguyen,customer.morgan.nguyen.7@yahoo.com,4422971894684897,VS,7956 Oak Blvd,Winnipeg,MB,Canada,T9E8J7,364.807.9710
8,Henry,Rogers,customer.henry.rogers.8@icloud.com,2464263032351313,MC,4993 Main St,Toronto,ON,Canada,G2R9M5,927.903.2003
9,Benjamin,Jackson,customer.benjamin.jackson.9@yahoo.com,379575202154989,AX,7811 Meadow Ln,Saskatoon,SK,Canada,B6Y9N2,270.325.5302
10,Evelyn,Cook,customer.evelyn.cook.10@hotmail.com,2428036549024424,MC,1690 Cedar Ct,Ottawa,ON,Canada,B8R1G7,231.148.3113
11,Dakota,Scott,customer.dakota.scott.11@yahoo.com,374263993081191,AX,4927 Pine Cres,Ottawa,ON,Canada,B3C7P5,744.889.2905
12,Quinn,Nguyen,customer.quinn.nguyen.12@gmail.com,341140198594394,AX,83 King Rd,Calgary,AB,Canada,M8Y3E7,316.940.4696
13,Taylor,Evans,customer.taylor.evans.13@hotmail.com,4403271701921712,VS,2206 Birch Way,Vancouver,BC,Canada,H7K0T0,388.611.5553
14,Dakota,Murphy,customer.dakota.murphy.14@proton.me,4227270578622704,VS,8425 Pine Cres,Toronto,ON,Canada,V0J6Y9,635.403.5959
15,Emma,Brown,customer.emma.brown.15@yahoo.com,4818564820610862,VS,9008 Maple Ave,Saskatoon,SK,Canada,Y5P3G5,532.445.2718
16,Sophia,Murphy,customer.sophia.murphy.16@outlook.com,340582576995761,AX,1723 Meadow Ln,Ottawa,ON,Canada,S1K1J5,270.909.4431
17,Jordan,Torres,customer.jordan.torres.17@outlook.com,2336273593691334,MC,4543 Maple Ave,Regina,SK,Canada,J6N9M4,677.885.8269
18,Isabella,King,customer.isabella.king.18@proton.me,4253247947115336,VS,2184 Sunset Dr,Calgary,AB,Canada,A9G1C9,577.900.6024
19,Sophia,White,customer.sophia.white.19@proton.me,4215345979718147,VS,4369 Cedar Ct,Ottawa,ON,Canada,Y1A2V0,621.649.4044
20,Emily,Edwards,customer.emily.edwards.20@gmail.com,4803186357496346,VS,1107 Cedar Ct,Montreal,QC,Canada,K8N4E0,707.435.4776
21,Sophia,Allen,customer.sophia.allen.21@yahoo.com,376392926200061,AX,9399 Meadow Ln,Saskatoon,SK,Canada,Y5E8R2,547.514.1313
22,Emma,Martin,customer.emma.martin.22@yahoo.com,371794026361955,AX,8417 Sunset Dr,Saskatoon,SK,Canada,X2Y8Y5,789.110.1685
